lat,lon
33.830819,-117.918174
30.420636,-87.253301
33.749436,-117.93774
30.459286,-87.213188
37.308362,-120.502336
33.845675,-117.940745
43.212892,-75.451785
27.908671,-82.517259
30.655441,-87.392952
30.913466,-87.465126
31.568839,-84.190411
33.838777,-117.914958
40.994095,-95.892243
